City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Oxford,1,US,1547265360,62,33.61,-85.83,44.06,4.7
Rikitea,80,PF,1547266673,100,-23.12,-134.97,79.36,17.25
Nakuru,0,KE,1547266721,87,-0.28,36.07,46.15,4.16
Bredasdorp,32,ZA,1547262000,76,-34.53,20.04,53.6,5.82
Ushuaia,75,AR,1547265600,48,-54.81,-68.31,46.4,11.41
Touros,40,BR,1547265600,83,-5.2,-35.46,77.0,4.7
Luderitz,24,NA,1547266723,91,-26.65,15.16,57.67,4.5
Ancud,90,CL,1547265600,100,-41.87,-73.83,53.6,2.24
Klaksvik,88,FO,1547265000,81,62.23,-6.59,44.6,29.97
Saint Anthony,90,US,1547265360,78,43.97,-111.68,30.02,3.36
Avarua,75,CK,1547265600,78,-21.21,-159.78,80.6,9.17
Jamestown,0,AU,1547266726,44,-33.21,138.6,88.0,11.77
Maracas,20,TT,1547265600,88,10.76,-61.44,75.2,4.7
Hilo,90,US,1547265180,81,19.71,-155.08,71.96,5.82
Souillac,90,FR,1547263800,100,45.6,-0.6,41.0,1.81
Mataura,0,NZ,1547265040,53,-46.19,168.86,69.91,4.05
Dikson,0,RU,1547266727,94,73.51,80.55,-21.31,17.92
Minab,0,IR,1547265600,62,27.15,57.07,55.4,4.7
Bellefontaine,1,US,1547265360,73,40.36,-83.76,27.14,5.73
Kaitangata,0,NZ,1547266728,72,-46.28,169.85,62.8,9.53
Toyota,75,JP,1547265600,52,35.15,137.3,46.4,10.29
Zhezkazgan,75,KZ,1547265600,83,47.8,67.71,-7.61,4.47
Sambava,76,MG,1547266583,100,-14.27,50.17,79.67,2.93
Vaini,0,IN,1547265600,60,15.34,74.49,69.8,2.93
Hobart,0,AU,1547263800,19,-42.88,147.33,75.2,20.8
Mar del Plata,36,AR,1547266730,42,-46.43,-67.52,65.81,20.49
Husavik,0,CA,1547266731,68,50.56,-96.99,2.18,7.85
Kapaa,75,US,1547265360,73,22.08,-159.32,75.92,8.05
Cape Town,100,ZA,1547265600,93,-33.93,18.42,51.8,4.7
Bluff,0,AU,1547266734,53,-23.58,149.07,87.77,8.63
Tasiilaq,80,GL,1547265000,73,65.61,-37.64,19.4,20.8
Chokurdakh,0,RU,1547266734,0,70.62,147.9,-39.99,2.93
Albany,20,US,1547265420,66,42.65,-73.75,12.02,8.05
Atuona,0,PF,1547265040,100,-9.8,-139.03,81.47,16.24
Ranau,75,MY,1547263800,70,5.95,116.67,89.6,6.93
Mexico,90,US,1547265180,64,44.56,-70.55,3.92,6.93
Ibra,64,OM,1547266737,81,22.69,58.55,58.43,2.93
Vostok,0,RU,1547266622,55,46.45,135.83,13.61,1.14
Bambous Virieux,40,MU,1547265600,83,-20.34,57.76,82.4,11.41
Bathsheba,20,BB,1547265600,73,13.22,-59.52,77.0,14.99
Portree,92,GB,1547266739,99,57.41,-6.19,46.6,24.85
Alta Floresta,92,BR,1547266741,100,-9.87,-56.08,70.9,2.48
Barrow,0,AR,1547266741,56,-38.31,-60.23,61.67,12.1
Aldan,76,RU,1547266741,83,58.61,125.39,4.57,3.49
Longyearbyen,20,NO,1547265000,50,78.22,15.63,8.6,20.8
Norman Wells,20,CA,1547262000,72,65.28,-126.83,-40.01,3.27
Carnarvon,8,ZA,1547266743,82,-30.97,22.13,50.11,5.5
Sri Aman,75,MY,1547262000,79,1.24,111.46,86.0,1.12
Hermanus,12,ZA,1547266737,100,-34.42,19.24,48.49,3.15
Hay River,90,CA,1547263500,84,60.82,-115.79,5.0,4.7
Itacare,92,BR,1547266744,95,-14.28,-39.0,78.37,5.73
Port Keats,0,AU,1547266744,85,-14.25,129.55,91.01,10.76
Pisco,0,PE,1547265600,88,-13.71,-76.2,71.6,16.11
Canico,40,PT,1547263800,67,32.63,-16.85,62.6,9.17
Concepcion del Uruguay,0,AR,1547266746,83,-32.48,-58.24,63.56,6.17
Kazerun,20,IR,1547266746,83,29.62,51.65,36.74,4.61
Choix,0,MX,1547266746,91,26.71,-108.33,55.01,1.81
Mahebourg,40,MU,1547265600,83,-20.41,57.7,82.4,11.41
Yarmouth,36,GB,1547261400,87,50.71,-1.5,46.4,6.93
Saint-Philippe,1,CA,1547265300,61,45.36,-73.48,5.0,5.82
Itai,20,BR,1547266749,89,-23.42,-49.09,73.01,10.31
Rajura,0,IN,1547266753,70,19.78,79.37,67.79,5.39
Sarkand,92,KZ,1547266753,81,45.41,79.91,16.58,3.04
Punta Arenas,75,CL,1547265600,100,-53.16,-70.91,42.8,21.92
Cururupu,92,BR,1547266754,100,-1.82,-44.87,73.64,2.71
Trairi,68,BR,1547266755,100,-3.28,-39.27,80.21,7.96
Port Blair,40,IN,1547262000,83,11.67,92.75,82.4,10.29
Salta,90,AR,1547265600,100,-24.79,-65.41,64.4,2.37
Srednekolymsk,36,RU,1547266756,49,67.46,153.71,-29.86,2.59
Cidreira,92,BR,1547266757,99,-30.17,-50.22,71.66,9.31
Neka,0,IR,1547265600,92,36.65,53.3,35.6,2.24
Vardo,1,US,1547265600,52,39.62,-77.74,28.4,3.38
Kahului,40,US,1547266260,68,20.89,-156.47,78.08,3.36
Qasigiannguit,0,GL,1547265000,39,68.82,-51.19,-5.81,3.36
Nemuro,75,JP,1547265600,62,43.32,145.57,23.0,14.99
Kapit,36,MY,1547266763,81,2.02,112.94,82.82,1.7
Chuy,92,UY,1547266765,90,-33.69,-53.46,65.18,7.18
Cherskiy,24,RU,1547266633,46,68.75,161.3,-15.46,2.71
Enid,90,US,1547265660,100,36.4,-97.88,39.2,13.87
Praia,0,BR,1547262000,73,-20.25,-43.81,71.6,6.93
Vidim,90,CZ,1547263800,97,50.47,14.53,33.8,16.11
Busselton,0,AU,1547266749,81,-33.64,115.35,74.32,11.77
Meulaboh,24,ID,1547266767,100,4.14,96.13,80.8,2.71
Yellowknife,90,CA,1547262000,84,62.45,-114.38,6.8,8.05
Hami,44,CN,1547266767,57,42.84,93.51,4.66,2.71
Imeni Poliny Osipenko,8,RU,1547266767,77,52.42,136.49,-11.86,2.93
Grindavik,75,IS,1547265600,86,63.84,-22.43,35.6,20.8
Zyryanka,0,RU,1547266768,69,65.73,150.89,-35.94,2.26
Hirado,75,JP,1547265600,66,33.32,129.49,53.6,5.82
Boali,0,CF,1547262000,88,4.81,18.11,69.8,3.6
Samarai,24,PG,1547266769,100,-10.62,150.67,81.97,4.16
Bethel,1,US,1547265360,76,60.79,-161.76,-23.08,19.46
Hofn,0,IS,1547266592,96,64.25,-15.21,40.21,15.79
Maragogi,68,BR,1547266769,94,-9.01,-35.22,75.89,5.61
San Patricio,80,PY,1547266770,82,-26.98,-56.83,78.1,3.94
Altamira,68,BR,1547266770,97,-3.2,-52.21,72.83,2.59
Torbay,90,CA,1547262000,97,47.66,-52.73,32.0,13.87
Napier,44,NZ,1547266621,100,-39.49,176.92,66.22,15.12
Bazarnyye Mataki,76,RU,1547266771,86,54.9,49.93,12.08,11.77
Pochutla,20,MX,1547264700,69,15.74,-96.47,80.6,5.61
Saskylakh,36,RU,1547266737,0,71.97,114.09,-43.18,3.6
Port Elizabeth,1,US,1547265360,73,39.31,-74.98,30.92,7.18
Ocampo,80,PH,1547266772,96,13.56,123.37,77.65,12.88
Mount Gambier,0,AU,1547262000,41,-37.83,140.78,75.2,19.46
Kodiak,90,US,1547264100,100,39.95,-94.76,33.8,8.05
Sabinas Hidalgo,100,MX,1547266774,92,26.51,-100.18,60.14,2.71
Yerbogachen,44,RU,1547266774,60,61.28,108.01,-7.5,6.96
Port Lincoln,0,AU,1547266775,77,-34.72,135.86,70.45,17.47
Port Alfred,0,ZA,1547266739,83,-33.59,26.89,66.89,22.5
Waingapu,32,ID,1547265940,80,-9.65,120.26,85.07,4.72
Broken Hill,0,AU,1547265600,10,-31.97,141.45,109.4,12.75
Sisimiut,0,GL,1547266776,100,66.94,-53.67,-21.04,3.15
Mahon,75,IE,1547265600,100,51.89,-8.4,46.4,8.05
Petropavlovsk-Kamchatskiy,40,RU,1547263800,59,53.05,158.65,33.8,20.13
Ladovskaya Balka,92,RU,1547266777,85,45.63,41.4,40.43,14.12
Airai,12,TL,1547266777,66,-8.93,125.41,84.17,2.26
Aksay,75,RU,1547265600,80,47.27,39.86,33.8,26.84
Kruisfontein,8,ZA,1547266776,87,-34.0,24.73,63.83,20.71
Tiksi,32,RU,1547266778,47,71.64,128.87,-29.14,6.4
Sulejowek,75,PL,1547265600,98,52.25,21.27,33.8,9.17
Harbour Breton,48,CA,1547266569,98,47.48,-55.8,32.96,24.4
Pangody,0,RU,1547266779,57,65.85,74.49,-19.6,14.56
Evensk,0,RU,1547266780,100,61.92,159.24,14.65,15.01
Bubaque,76,GW,1547266781,100,11.28,-15.83,78.14,4.72
Victoria,75,BN,1547263800,70,5.28,115.24,87.8,2.24
Omsukchan,20,RU,1547266553,86,62.53,155.8,-15.87,3.04
Sitka,92,US,1547266674,100,37.17,-99.65,35.39,18.03
Salalah,0,OM,1547265000,25,17.01,54.1,73.4,13.87
Mojo,0,ET,1547262000,60,8.59,39.12,46.4,9.17
Comodoro Rivadavia,0,AR,1547265600,45,-45.87,-67.48,64.4,17.22
Izacic,68,BA,1547266786,78,44.88,15.78,15.14,1.81
Rorvik,92,NO,1547266598,100,64.86,11.24,38.41,14.34
Thompson,75,CA,1547262000,70,55.74,-97.86,-2.21,3.36
Honningsvag,88,NO,1547266550,100,70.98,25.97,34.9,13.89
Todos Santos,5,MX,1547264880,77,23.45,-110.23,68.0,5.82
Nieuw Amsterdam,20,SR,1547265600,88,5.88,-55.08,75.2,3.36
Altay,64,CN,1547266789,73,47.83,88.13,1.6,1.14
Saldanha,0,PT,1547266791,86,41.42,-6.55,19.37,3.49
Bastia,0,IT,1547265000,35,44.6,8.98,39.2,6.93
Ambon,90,FR,1547263800,87,47.55,-2.56,44.6,4.7
Floriano,56,BR,1547266792,86,-6.77,-43.02,74.86,8.86
Ilulissat,0,GL,1547265000,39,69.22,-51.1,-5.81,3.36
Naze,8,NG,1547266624,91,5.43,7.07,73.6,7.4
San Quintin,12,PH,1547266595,62,17.54,120.52,79.76,3.04
Grand-Santi,92,GF,1547266793,88,4.27,-54.38,74.81,2.82
Bonavista,36,CA,1547266591,97,48.65,-53.11,31.12,18.25
Nioro,80,GM,1547266793,47,13.79,-15.05,69.14,7.29
Ayr,75,GB,1547265000,81,55.46,-4.63,48.2,19.46
Yulara,0,AU,1547265600,10,-25.24,130.99,109.4,12.75
Kavaratti,12,IN,1547266794,100,10.57,72.64,81.29,9.75
Georgetown,75,GY,1547262000,88,6.8,-58.16,75.2,4.7
Mindelo,0,PT,1547263800,100,41.31,-8.72,41.0,5.82
Dubovskoye,92,RU,1547266795,92,47.41,42.76,36.83,15.01
Mangrol,0,IN,1547266795,69,25.33,76.51,50.29,7.63
Fortuna,0,ES,1547263800,55,38.18,-1.13,33.8,8.05
San Felipe,0,CL,1547266796,86,-32.75,-70.73,52.9,0.36
Arraial do Cabo,8,BR,1547266796,86,-22.97,-42.02,77.42,16.46
New Norfolk,0,AU,1547263800,19,-42.78,147.06,75.2,20.8
Aswan,0,EG,1547266797,93,24.09,32.9,42.14,4.05
Antofagasta,0,CL,1547265600,72,-23.65,-70.4,66.2,2.24
Aklavik,90,CA,1547262000,74,68.22,-135.01,-22.01,4.7
East London,20,ZA,1547265600,72,-33.02,27.91,64.4,16.11
Miri,8,NG,1547266798,57,10.31,9.75,56.14,3.71
Goundam,0,ML,1547266798,49,16.42,-3.66,60.41,11.54
Mahanoro,56,MG,1547266800,99,-19.9,48.8,72.74,2.59
Neuquen,0,AR,1547265600,20,-38.95,-68.06,68.0,4.7
Ariano Irpino,90,IT,1547261700,79,41.15,15.09,26.6,3.36
Pangai,40,TO,1547265600,78,-19.8,-174.35,82.4,16.11
Poso,12,ID,1547266783,98,-1.4,120.75,83.09,3.38
Ambanja,32,MG,1547266803,95,-13.68,48.45,69.91,2.48
Luanda,75,AO,1547265600,83,-8.83,13.24,78.8,5.82
Saint-Augustin,90,FR,1547263800,93,44.83,-0.61,42.8,3.36
Micheweni,44,TZ,1547266805,100,-4.97,39.83,82.19,13.78
Sinnamary,64,GF,1547266805,94,5.38,-52.96,79.13,10.2
Flagstaff,1,US,1547265420,74,35.2,-111.65,44.6,2.37
Ambilobe,92,MG,1547266806,92,-13.19,49.05,71.39,3.27
Fuling,92,CN,1547266807,100,29.71,107.39,39.71,3.15
Vao,44,EE,1547266744,85,59.1,26.19,31.43,11.43
Narsaq,75,GL,1547265000,51,60.91,-46.05,35.6,31.09
Butaritari,76,KI,1547266808,100,3.07,172.79,83.63,12.77
Sao Jose da Coroa Grande,68,BR,1547266809,94,-8.9,-35.15,75.89,5.61
Esil,48,KZ,1547266809,72,51.96,66.41,-6.19,8.86
Kupang,56,ID,1547266809,85,-10.16,123.6,86.11,6.96
Kaeo,8,NZ,1547266810,44,-35.1,173.78,81.29,5.95
Dali,0,CN,1547266578,60,25.6,100.24,53.8,2.15
Qaanaaq,24,GL,1547266810,100,77.48,-69.36,-18.16,10.54
Geraldton,20,CA,1547262000,75,49.72,-86.95,-13.01,4.7
Makakilo City,1,US,1547265420,68,21.35,-158.09,78.08,4.7
Burns Lake,92,CA,1547266811,86,54.23,-125.76,34.54,4.16
Puerto Ayora,48,EC,1547266811,100,-0.74,-90.35,76.39,9.19
Dingle,20,PH,1547266812,70,11.0,122.67,82.64,10.65
Kavieng,64,PG,1547266812,100,-2.57,150.8,81.97,7.85
Avera,1,US,1547266500,79,33.19,-82.53,42.8,3.36
Sagua de Tanamo,36,CU,1547266813,99,20.58,-75.24,65.14,2.26
Labuhan,32,ID,1547266771,73,-2.54,115.51,85.97,3.15
Nanortalik,48,GL,1547266813,89,60.14,-45.24,31.07,43.87
Igra,76,RU,1547266814,80,57.55,53.1,13.52,12.66
Selcuk,75,TR,1547265000,93,37.95,27.37,59.0,10.29
Bontang,8,ID,1547266814,87,0.12,117.47,85.43,7.4
Nome,90,US,1547265300,83,30.04,-94.42,57.92,10.29
Neftcala,44,AZ,1547266817,100,39.37,49.25,36.74,3.38
Nanpiao,0,CN,1547266817,34,41.1,120.75,32.56,4.38
Cabo San Lucas,5,MX,1547264880,82,22.89,-109.91,68.0,8.05
Amazar,64,RU,1547266817,73,53.86,120.88,-7.99,2.59
Yakeshi,20,CN,1547266818,73,49.28,120.73,8.66,3.27
Constitucion,0,MX,1547266818,53,23.99,-104.67,51.64,7.18
Carutapera,92,BR,1547266819,100,-1.2,-46.02,73.82,1.59
Hithadhoo,88,MV,1547266819,100,-0.6,73.08,79.04,0.36
Kachiry,44,KZ,1547266819,57,53.07,76.1,-11.64,3.71
Lasa,0,CY,1547263800,76,34.92,32.53,50.0,9.17
Okha,0,RU,1547266655,92,53.59,142.95,7.49,16.13
Jalu,0,LY,1547266800,40,29.03,21.55,47.09,11.43
Esperance,20,TT,1547265600,88,10.24,-61.45,75.2,4.7
Tromso,88,NO,1547265000,79,69.65,18.96,32.0,32.21
Deputatskiy,0,RU,1547266822,0,69.3,139.9,-39.99,2.59
Znamenskoye,48,RU,1547266822,69,57.13,73.82,-9.61,3.15
Nikolskoye,75,RU,1547265600,79,59.7,30.79,32.0,13.42
Nagato,75,JP,1547265600,81,34.35,131.14,50.0,4.7
Vestmannaeyjar,0,IS,1547266824,97,63.44,-20.27,41.74,24.29
Zhigansk,48,RU,1547266824,66,66.77,123.37,-22.17,9.19
Port Macquarie,12,AU,1547262000,40,-31.43,152.91,87.8,13.87
Sokolo,44,ML,1547266828,38,14.74,-6.12,63.25,10.76
Russell,0,AR,1547265600,53,-33.01,-68.8,71.6,8.05
Morro Bay,90,US,1547265360,74,35.37,-120.85,60.08,14.99
Rudnichnyy,0,RU,1547266830,71,59.7,60.29,3.71,6.06
Alice Springs,0,AU,1547264640,13,-23.7,133.88,105.8,11.41
Isangel,0,VU,1547266830,100,-19.55,169.27,79.9,4.61
Tazovskiy,48,RU,1547266599,36,67.47,78.7,-23.97,11.99
Faanui,92,PF,1547265459,100,-16.48,-151.75,83.41,17.58
Cayenne,75,GF,1547265600,94,4.94,-52.33,73.4,2.24
Sayhat,0,SA,1547265600,39,26.49,50.04,59.0,12.75
Fairbanks,20,US,1547265480,65,64.84,-147.72,-39.47,2.71
Saint-Denis,90,FR,1547263800,93,48.94,2.36,42.8,5.82
Bizhbulyak,92,RU,1547266832,86,53.69,54.27,11.95,14.45
Sao Joao da Barra,0,BR,1547266832,96,-21.64,-41.05,79.49,16.46
Kendari,0,ID,1547266833,82,-3.99,122.52,86.33,3.94
Severo-Kurilsk,76,RU,1547266833,100,50.68,156.12,32.24,24.52
Yertsevo,76,RU,1547266834,86,60.8,40.09,17.03,15.9
Moa,36,CU,1547266835,99,20.66,-74.95,65.14,2.26
Clyde River,1,CA,1547265600,74,70.47,-68.59,-27.41,8.05
Chapais,90,CA,1547262000,76,49.78,-74.86,-11.21,9.17
Pangkalanbuun,80,ID,1547266836,95,-2.68,111.62,83.99,4.27
Saint George,90,GR,1547261400,93,39.45,22.34,37.4,4.7
Magadan,48,RU,1547266612,100,59.56,150.8,20.77,19.71
Tingi,76,TZ,1547266837,100,-11.3,35.03,75.71,3.83
Alofi,24,NU,1547265600,69,-19.06,-169.92,82.4,17.22
Raudeberg,76,NO,1547265000,100,61.99,5.14,37.4,16.11
Aranos,0,NA,1547266839,35,-24.14,19.11,60.82,9.42
Brae,92,GB,1547265000,93,60.4,-1.35,46.4,24.16
Guerrero Negro,0,MX,1547266840,100,27.97,-114.04,52.9,4.5
Sur,0,OM,1547266841,100,22.57,59.53,70.31,16.35
Hukuntsi,0,BW,1547266841,24,-23.98,21.76,62.48,9.86
La Cruz,0,MX,1547266842,95,23.92,-106.89,66.89,3.15
Kralendijk,0,BQ,1547265300,78,12.15,-68.27,77.0,10.29
Beni,8,CD,1547266843,84,0.49,29.47,58.39,2.71
